"ID","exp_cond","big_Or01","big_N02","big_Nr03","big_O04","big_E05","big_E06","big_C07","big_C08","big_N09","big_A10","big_Ar11","big_Nr12","big_Er13","big_C14","big_Or15","big_E16","big_O17","big_E18","big_A19","big_Cr20","big_Cr21","big_N22","big_Or23","big_A24","big_Or25","big_C26","big_Er27","big_Nr28","big_Cr29","big_Ar30","big_C31","big_Er32","big_N33","big_Cr34","big_Or35","big_N36","big_Ar37","big_A38","big_Cr39","big_E40","big_Er41","vas_ar","age","gender","edu","occ","income","inc_cur","inc_normed","fav_device","tech_interest","operating_sys","os_use","os_pref","session_length","page_trail","pages_visited","os_auto","quit_early","rt_1","rt_2","rt_3","rt_4","rt_5","rt_6","seriousness","so","z0_browser_screen_h","z0_browser_screen_w","start","end","true_trail","big_O","big_C","big_E","big_A","big_N"
98398,"74VAS",4,3.8,4.2,5,1.7,1.6,4.2,2.5,3.8,4.1,3.8,4.3,2.2,4,5,1.7,4,1.7,1.8,4.3,4.3,4.2,4.1,2,5,4.2,2.9,3.7,2.1,3.6,3.9,2.6,4.1,4.1,5,4.2,4.3,2,5,1.7,4.5,25,19,"woman","high school","student",400,"euro",400,"Microsoft Surface",70,"iphone","win","other",376,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1",NA,36580,NA,68672,54190,36772,73347,"participate","so",812,375,2024-04-06 20:52:46,2024-04-06 20:59:02,7,4.58571428571429,3.86,2.28888888888889,3.08571428571429,4.0375
54412,"66VASnt",4.8,1.5,3.6,4.9,1.2,1.4,4.3,4.9,4.7,5,4.7,4,1,4.8,4.7,1,4.7,2.7,3.5,4.4,4,5,5,5,4.9,4.7,5,3.1,2.1,4.4,5,1.4,1.8,4.3,4.9,3.4,4.9,3.9,4.6,1.1,2.9,0,25,"woman","high school","student",2200,"euro",2200,"Iphone",72,"iphone","mac","mac",289,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1",NA,28058,48001,55989,44584,37772,71553,"participate","so",844,390,2024-04-06 20:59:48,2024-04-06 21:04:37,7,4.84285714285714,4.31,1.96666666666667,4.48571428571429,3.3875
65733,"74VAS",5,4.8,3.6,3.3,1.6,1.3,2.2,2.1,4.1,4.6,5,5,1.8,3.5,3.9,1.1,4.6,2.2,3,2.2,4.3,1.5,4.2,3,1.2,4.8,1.2,3.9,2.4,4.1,1.2,2.7,3.6,2.4,3,4.5,4.7,4.3,4.8,4.4,4.7,25,24,"man","high school","student",1500,"euro",1500,"Windows Laptop",100,"win","win","win",491,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",NA,7823,NA,64195,115000,90337,104904,"participate","ind",1080,1920,2024-04-06 22:21:12,2024-04-06 22:29:23,7,3.6,2.99,2.33333333333333,4.1,3.875
28467,"74VAS",2.7,4.9,3.2,4.5,4.3,3.7,3,4.6,2.1,4,3.6,4.4,3,3.7,3.7,2.6,4,3,3.9,3.4,2.6,4.1,3.9,3.8,4.8,4.8,2.6,2.6,3,2.8,4.7,3,1.7,4.6,5,3.3,4.9,4.6,4.6,3.5,3.1,68,23,"woman","primary","student",500,"euro",500,"laptop hp",30,"win","other","mac",440,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",NA,63815,NA,128030,67666,51860,57100,"participate","so",864,1536,2024-04-07 09:26:17,2024-04-07 09:33:37,7,4.08571428571429,3.9,3.2,3.94285714285714,3.2875
10387,"89LIK",5,4,4,5,1,3,3,3,1,4,2,5,3,4,5,4,4,4,3,4,2,3,5,2,5,5,3,2,2,1,2,4,2,5,5,4,5,3,5,4,4,62,22,"woman","college","student",5000,"euro",5000,"Windows laptop",8,"win","win","win",336,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",NA,27153,NA,43754,58209,31294,107501,"participate","so",720,1280,2024-04-07 10:39:15,2024-04-07 10:44:51,7,4.85714285714286,3.5,3.33333333333333,2.85714285714286,3.125
95951,"89LIK",5,2,3,4,3,4,5,4,1,5,5,4,1,4,4,5,3,2,4,4,4,3,5,5,4,5,2,1,5,5,4,5,1,5,4,2,5,4,5,4,5,53,21,"woman","high school","student",NA,NA,NA,"PC",46,"win","win","mac",524,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 Edg/123.0.0.0",NA,34708,NA,60052,83633,78540,150162,"participate","so",864,1536,2024-04-07 11:21:02,2024-04-07 11:29:46,7,4.14285714285714,4.5,3.44444444444444,4.71428571428571,2.125
34055,"66VASnt",5,4.2,3.5,4.9,1.5,4,2,2.9,2.5,4.7,3.5,1.8,3.2,2.9,4.7,1.6,5,2.2,4.6,2.2,1.7,3.4,4.7,4.6,5,4.1,1.8,2.2,2.3,4.3,1.6,3.7,3.5,2.7,4.9,4.3,4.4,4.3,3.9,2.7,3.1,64,25,"woman","college","student",1100,"euro",1100,"Acer/windows Laptop",26,"win","win","win",252,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 Edg/123.0.0.0",NA,34961,47349,38591,31472,33698,62199,"participate","ind",720,1280,2024-04-07 13:08:14,2024-04-07 13:12:26,7,4.88571428571429,2.63,2.64444444444444,4.34285714285714,3.175
17088,"66VASnt",3,1.4,1.9,4.6,3.4,4.7,2,1.9,2.7,4.9,3.9,2.3,3.1,2.6,4.1,4.8,3.3,3.5,3.9,2.6,1.9,2.6,3.9,4.3,5,3.8,3.5,2.2,2.1,4.7,1.8,4.4,1.9,3.5,5,1.5,4.4,4.5,3.9,4.7,3.8,44,20,"woman","high school","student",NA,NA,NA,"Apple Smartphone",27,"iphone","mac","mac",614,"start.html - 148.html - 270.html - 270.html - 392.html - 469.html - demosend.html - thank.html",8,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5.2 Mobile/15E148 Safari/604.1",NA,55583,66800,80372,73065,80212,254979,"participate","so",812,375,2024-04-07 15:22:31,2024-04-07 15:32:45,7,4.12857142857143,2.61,3.98888888888889,4.37142857142857,2.0625
34086,"89LIK",2,4,4,4,2,3,4,3,5,5,5,4,1,3,5,4,2,2,3,2,2,2,5,5,5,5,3,4,1,2,3,3,4,4,4,4,5,5,5,4,3,10,25,"man","college","employed",1000,"euro",1000,"lenovo laptop",100,"win","win","win",4180,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html - start.html",8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0",NA,33344,NA,51032,64452,45388,57430,"participate","so",1080,1920,2024-04-07 15:27:18,2024-04-07 16:36:58,7,3.85714285714286,3.2,2.77777777777778,4.28571428571429,3.875
89687,"74VAS",5,4.5,4.3,5,4,3.9,3.6,4.1,2.5,3.5,3.6,3.6,3.4,3.5,4.4,1.7,4.9,3.8,4.2,2,1.4,4.4,3.7,3.8,4.9,1.7,2.1,3.7,2.2,2.3,2.4,4.4,2.1,2.6,5,2.2,2.9,3.7,3.7,2.2,3.8,50,35,"woman","high school","student",5000,"dollar",4600,"Apple IPhone ",85,"win","mac","mac",945,"start.html - 148.html - start.html - start.html - 148.html - 148.html - 270.html - 392.html - 270.html - 270.html - 469.html - 392.html - 392.html - demosend.html - 469.html - 469.html - demosend.html - thank.html - demosend.html - thank.html - thank.html - thank.html - thank.html - thank.html - thank.html - thank.html - thank.html",27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",NA,35649,NA,75771,40395,31578,57067,"participate","jk",1080,1920,2024-04-07 17:00:29,2024-04-07 17:16:14,7,4.7,2.72,3.25555555555556,3.42857142857143,3.4125
34306,"89LIK",3,3,2,5,2,4,4,4,2,5,5,3,4,4,5,4,3,4,5,4,4,2,4,5,3,5,2,2,3,5,5,3,2,5,5,2,5,5,5,4,4,82,20,"woman","high school","student",700,"euro",700,"Windows Laptop",54,"win","win","win",510,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0",NA,38094,NA,50589,101481,64083,152285,"participate","so",864,1536,2024-04-07 21:03:16,2024-04-07 21:11:46,7,4,4.3,3.44444444444444,5,2.25
68623,"89LIK",5,4,5,5,2,3,4,1,5,4,4,5,2,3,4,1,5,2,4,5,2,4,5,4,5,5,1,4,1,5,1,3,4,4,5,5,5,2,2,1,5,57,38,"woman","college","employed",500,"dollar",460,"elderly HP desktop",59,"win","win","win",1434,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",NA,1243793,NA,23460,29207,21861,88588,"participate","jk",1080,1920,2024-04-08 01:04:43,2024-04-08 01:28:37,7,4.85714285714286,2.8,2.22222222222222,4,4.5
27787,"89LIK",5,2,3,5,3,4,3,2,3,5,5,3,3,4,5,4,4,3,5,4,3,3,4,4,5,5,3,3,3,5,4,4,1,5,5,3,5,4,4,4,3,36,26,"woman","technical school","student",500,"euro",500,"Windows Laptop",35,"win","win","win",258,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 Edg/123.0.0.0",NA,12321,NA,33156,61482,30036,56107,"participate","so",864,1536,2024-04-08 08:53:42,2024-04-08 08:58:00,7,4.71428571428571,3.7,3.44444444444444,4.71428571428571,2.625
88300,"89LIK",5,4,4,5,5,5,5,5,2,5,4,4,3,4,5,2,4,4,4,5,2,5,5,4,5,5,4,2,2,2,5,5,2,4,5,4,4,4,5,2,5,62,21,"woman","high school","employed",1200,"euro",1200,"Laptop",73,"iphone","win","mac",201,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",NA,17608,NA,24563,37075,23535,63748,"participate","so",667,375,2024-04-08 12:00:21,2024-04-08 12:03:42,7,4.85714285714286,4.2,3.88888888888889,3.85714285714286,3.375
48301,"66VASnt",4.7,2.9,3.9,3.6,3.2,4.1,3.4,3,1.8,4.4,4.4,3.2,3,3.5,3.9,4.1,4,1.5,3.5,4.4,2.3,3,3.9,3,4.1,4.3,2.1,3,3.8,4.6,3,4.4,2.6,4.3,4.2,3.2,4.9,3.1,4.3,4.1,4.3,44,24,"woman","college","student",800,"euro",800,"Android Smartphone",67,"win","win","win",288,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0",NA,19086,60195,56965,42444,41602,66305,"participate","ind",720,1280,2024-04-08 15:17:57,2024-04-08 15:22:45,7,4.05714285714286,3.63,3.42222222222222,3.98571428571429,2.95
57237,"66VASnt",2.6,1.2,1.7,1.3,1.7,3.3,3,1.4,1.7,4.8,3.9,4.3,4.1,3.8,4.7,3.6,2.3,2.8,4.4,2.8,4.4,1.6,3.1,3.7,4.3,3.8,1.6,1.3,3.6,4.8,2.9,2.1,2.8,3.3,4.4,1.6,4.8,3.9,4.2,4.4,2.7,34,21,"woman","high school","student",600,"euro",600,"laptop (windows)",2,"win","win","win",405,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0",NA,45678,69264,61644,51899,79439,95327,"participate","so",864,1536,2024-04-08 16:30:22,2024-04-08 16:37:07,7,3.24285714285714,3.32,2.92222222222222,4.32857142857143,2.025
27201,"66VASnt",4.1,2.3,1.3,3.6,1.4,2.1,3.4,4.1,3.3,4.6,4.3,2,1.2,4.4,4.6,1.8,4.2,1.4,4.2,2.6,2.5,1.4,5,4.4,2.2,4.7,1.8,2.5,4,4.2,4.5,2.6,3.4,5,4,1.6,5,4.1,2.3,3.4,3.8,62,NA,"man","high school","student",2000,"euro",2000,"Samsung Smartphone",72,"win","win","win",641,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 OPR/108.0.0.0",NA,86985,129406,62562,107479,98804,151929,"participate","so",1080,1920,2024-04-08 17:07:59,2024-04-08 17:18:40,7,3.95714285714286,3.75,2.16666666666667,4.4,2.225
71398,"89LIK",4,3,2,3,4,4,4,5,1,4,4,3,5,4,4,5,4,4,4,4,3,1,5,4,5,3,5,1,4,2,4,4,3,4,5,2,4,4,4,4,4,69,20,"woman","high school","student",800,"euro",800,"Apple AirPods ",27,"mac","mac","mac",400,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html - thank.html",8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Safari/605.1.15",NA,31825,NA,48111,43745,35797,94071,"participate","so",1112,834,2024-04-08 19:51:35,2024-04-08 19:58:15,7,4.28571428571429,3.9,4.33333333333333,3.71428571428571,2
80739,"89LIK",2,2,1,4,4,4,3,4,2,4,4,2,4,4,5,5,1,4,1,4,2,1,5,4,5,4,5,2,5,5,2,5,1,5,5,1,4,4,5,5,5,29,33,"man","post grad education","employed",15000,"dollar",13800,"My car - also my self built computer ",96,"android","win","win",264,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",NA,22963,NA,31240,45547,28943,102829,"participate","jk",938,412,2024-04-08 19:52:20,2024-04-08 19:56:44,7,3.85714285714286,3.8,4.55555555555556,3.71428571428571,1.5
82539,"74VAS",5,3.2,4,3.8,2.1,4.3,3.8,3.4,1.5,4.6,4.6,1,3.2,3.5,3.6,3.7,4.6,3.3,3.2,4.5,3.1,3.7,3.5,4.2,4.1,4.4,3.4,1.7,3.2,4.6,3.2,3.7,2.6,3.5,4.9,1.6,5,4.1,4.8,4.3,3.8,77,21,"woman","high school","student",400,"euro",400,"Android Smartphone",23,"win","win","win",696,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 Edg/123.0.0.0",NA,16414,NA,120665,88742,69890,163697,"participate","so",864,1536,2024-04-08 22:07:55,2024-04-08 22:19:31,7,4.21428571428571,3.74,3.53333333333333,4.32857142857143,2.4125
19945,"74VAS",4.3,2.7,4,4.5,3.9,3.3,2.7,3.4,1.6,4.9,3.5,4.1,3.1,2.2,4.3,1.7,3.6,2.6,3.5,2.8,2.3,2.2,4.9,5,4.9,3.8,3.3,2.6,4.5,2.4,2.5,4,2.1,3.8,5,3.9,4,4.1,5,3.5,5,66,24,"woman","college","student",0,"euro",0,"Apple iPad",78,"android","mac","win",33707,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html - thank.html",8,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36 (Ecosia android@111.0.5563.116)",NA,20718,NA,39288,27329,22260,51462,"participate","so",780,360,2024-04-08 23:57:26,2024-04-09 09:19:13,7,4.5,3.3,3.37777777777778,3.91428571428571,2.9
57214,"74VAS",5,3.9,2.3,4.5,1,1.4,2.3,2.7,2.7,3.8,3.8,2.8,1.5,2.2,3.7,1.5,4.6,2.4,3.8,1.4,1.1,3.3,3.4,3.8,4.6,3.4,1.9,2.8,1.6,3.5,1.9,1.4,3.3,1.7,5,3.6,3.7,3.8,2.2,2.6,1.2,55,18,"woman","high school","employed",1e+05,"dollar",92000,"HP laptop",56,"win","mac","mac",258,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 Edg/123.0.0.0",NA,41864,NA,36357,35971,33403,66517,"participate","jk",1080,1920,2024-04-09 04:07:47,2024-04-09 04:12:05,7,4.4,2.05,1.65555555555556,3.74285714285714,3.0875
77007,"66VASnt",5,1.9,4.5,4.3,1.6,1.8,4.9,4.5,3,4.8,5,3.7,1.2,4.8,4.1,1.9,4.6,1.3,4.2,4.8,3.3,3.5,4.3,4.7,4.5,4.6,1,2.8,4.4,3.7,3.1,3,2.5,4.1,4.6,3.7,4.8,4.1,4.8,1.8,1.7,21,22,"woman","college","student",500,"euro",500,"Android Smartphone",8,"win","win","win",240,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",NA,16932,52202,31358,36860,44915,54681,"participate","so",912,1368,2024-04-09 09:30:33,2024-04-09 09:34:33,7,4.48571428571429,4.33,1.7,4.47142857142857,3.2
94261,"66VASnt",4.8,3.9,4.9,5,2.8,2.6,1.5,1.1,1.6,4.9,4.4,3.3,3,2,4.6,2.2,4.6,3.1,3.9,4.4,1.1,5,3.4,4.9,5,4.6,3.2,3.4,1.9,2.5,1.2,4.1,5,3.8,5,2.7,3.1,3.6,3.2,1.9,3.7,55,21,"woman","high school","student",0,"euro",0,"Mac Book ",30,"mac","mac","other",25752,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html - thank.html",8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",NA,17697,37856,38240,45242,44935,67607,"participate","so",1080,810,2024-04-09 11:49:46,2024-04-09 18:58:58,7,4.62857142857143,2.48,2.95555555555556,3.9,3.725
70888,"66VASnt",3.8,2.2,3,3.3,1.1,2.4,3.2,2.9,1.7,4.5,4.7,3,2.8,2.9,4.1,2.5,3.8,2.8,3.4,3.8,2.9,1.9,4.2,4,4.8,4.1,3,2.1,3,4,2.9,2.7,1.8,4.2,4.8,2.1,4.7,3.9,4,3,2.6,59,20,"woman","high school","student",1000,"euro",1000,"Laptop",60,"win","win","win",689,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 Edg/123.0.0.0",NA,52324,105736,130264,76722,79732,242406,"participate","so",864,1536,2024-04-09 11:57:57,2024-04-09 12:09:26,7,4.11428571428571,3.39,2.54444444444444,4.17142857142857,2.225
58572,"74VAS",4.3,2.7,2.5,3.2,1.3,3.8,4.7,2.9,2.1,5,5,2.3,1.1,4,3.7,3.9,3.3,2.3,4.7,4.8,4.3,3.5,3.6,5,3.4,2.7,1.6,1.8,4.9,4.8,4,2.5,1.2,4.9,4.8,1.6,5,5,4,4.3,3.5,48,29,"woman","college graduate","employed",2300,"euro",2300,"Apple Smartphone (for my smartphone I prefer Apple, for work/PC Windows",40,"win","mac","win",710,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0",NA,47157,NA,158314,100313,70468,170752,"participate","so",1080,1920,2024-04-09 14:48:56,2024-04-09 15:00:46,7,3.75714285714286,4.12,2.7,4.92857142857143,2.2125
21898,"74VAS",3.6,3.5,4.2,2.2,2.5,3.6,3.5,3.6,2.3,3.9,3.6,2.8,2.5,2.6,2.1,2.7,3.5,3.4,4,1.7,1.9,3.9,3.7,3.6,2.1,3.6,2.4,2.3,2.5,2,2.2,3.7,2.3,2.8,2.2,2.6,4.3,4.1,4,3.3,3.4,58,22,"woman","high school","student",200,"euro",200,"Smartphone",11,"mac","mac","mac",505,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Safari/605.1.15",NA,60513,NA,238226,49996,31977,78186,"participate","so",1080,810,2024-04-09 15:29:38,2024-04-09 15:38:03,7,2.77142857142857,2.84,3.05555555555556,3.64285714285714,2.9875
28756,"66VASnt",3.3,1.4,4.4,4.9,3.1,3.8,1.5,4.4,2.3,4.9,5,4.1,4.1,4.3,4.8,3,2.5,1.3,4.5,4.1,4.1,3.9,4.6,4.6,5,3.4,4.1,2.4,2.6,4.9,4.9,3.9,1.1,4.5,4.9,3.6,4.9,3.6,4.9,3.7,3.1,13,21,"woman","high school","student",800,"euro",800,"Apple Laptop",6,"mac","mac","mac",199,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Safari/605.1.15",NA,10349,33298,50000,25418,31296,45437,"participate","so",900,1440,2024-04-09 17:14:10,2024-04-09 17:17:29,7,4.28571428571429,3.87,3.34444444444444,4.62857142857143,2.9
81690,"74VAS",5,4.2,3.5,5,3.4,4.2,3.3,3.2,1.6,4.9,4.6,4.9,4,3.6,4.9,4.3,4.9,3.9,4.1,4.4,4,3.9,4.8,4.3,4.8,3.6,4.7,1.1,5,4.9,2.1,4.9,3.7,2.4,5,4.2,5,4.9,2.6,3.8,5,75,39,"woman","technical school","self-employed",60000,"dollar",55200,"apple iphone",3,"linux","other","other",397,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",NA,39308,NA,87651,67006,63706,85976,"participate","jk",768,1366,2024-04-09 23:47:39,2024-04-09 23:54:16,7,4.91428571428571,3.42,4.24444444444444,4.67142857142857,3.3875
28003,"74VAS",4.1,3.6,1.6,5,3.4,3.6,1.4,4.7,2,5,3.6,2.4,3.6,4,4.6,3.9,4.2,3.5,4.1,1,1,2,4.6,4.2,3.8,4.2,2.7,2,1,3.4,3.7,4.3,2.1,1.9,5,3.5,4.6,4,4.2,4.2,3.5,57,21,"man","high school","student",1200,"euro",1200,"Apple MacBook Air ",73,"mac","mac","mac",317,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15",NA,9483,NA,42274,42498,58984,115969,"participate","so",1107,1710,2024-04-10 12:14:42,2024-04-10 12:19:59,7,4.47142857142857,2.71,3.63333333333333,4.12857142857143,2.4
19109,"89LIK",5,3,4,3,2,4,4,5,3,5,5,1,1,5,3,3,4,3,3,4,4,4,3,4,4,5,2,2,4,3,3,2,3,4,4,1,5,3,4,2,4,50,20,"woman","high school","student",520,"euro",520,"EBook",26,"android","win","win",217,"start.html - 148.html - 270.html - 270.html - 270.html - 270.html - 392.html - 469.html - demosend.html - demosend.html - demosend.html - demosend.html - thank.html",13,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",NA,14306,NA,37521,33621,27936,61262,"participate","so",873,393,2024-04-10 14:05:37,2024-04-10 14:09:14,7,3.71428571428571,4.2,2.55555555555556,4,2.625
49020,"66VASnt",5,1.9,2.5,5,4.5,4.5,1.8,4,3.2,5,5,3,2.5,3.9,5,3.2,3.5,4,3.4,1,1.5,1.3,4.7,4,4.7,4.1,4.2,4.6,1.9,2.8,1.4,3.2,1.6,4.5,5,3,2.6,4.4,3.8,1.8,4.3,26,21,"woman","high school","student",600,"euro",600,"Android Smartphone",51,"win","win","win",756,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0",NA,25571,114090,243911,87822,148038,133351,"participate","so",864,1536,2024-04-10 14:45:35,2024-04-10 14:58:11,7,4.7,2.79,3.57777777777778,3.88571428571429,2.6375
81689,"89LIK",2,2,1,4,4,3,4,5,1,5,3,2,4,5,2,2,3,3,4,2,3,1,4,4,4,4,3,1,4,3,5,2,3,3,4,3,2,4,2,3,4,81,21,"woman","high school","student",500,"euro",500,"Iphone",24,"iphone","mac","mac",4522,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",NA,30901,NA,52809,37886,35777,97057,"participate","so",844,390,2024-04-10 16:54:42,2024-04-10 18:10:04,7,3.28571428571429,3.7,3.11111111111111,3.57142857142857,1.75
17191,"66VASnt",4.7,1.3,3.2,5,3.7,5,2.7,2.9,1,4.6,4.8,1.9,3.8,4.1,5,5,4.1,1.5,3.3,4.9,4.8,1.4,5,4.2,3.9,5,4.5,1.5,4.9,5,1.9,5,1.3,4.7,5,1.4,4.8,4,5,4.2,5,69,20,"woman","high school","student",1000,"euro",1000,"Mac Book",17,"mac","mac","mac",589,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",NA,36617,129077,149067,76554,99222,95499,"participate","so",982,1512,2024-04-10 19:52:35,2024-04-10 20:02:24,7,4.67142857142857,4.09,4.18888888888889,4.38571428571429,1.625
